"season","codex","hill_size_x","k.point","meter.value","gate.factor","wind.factor","id","training","place","gender","hill_size_y","team","type","date"
"187",2014,3717,108,95,2,6.48,7.2,"2014JP3717RL",0,"Hinterzarten (GER)","Men",108,0,2,"2013-07-28"
"188",2014,3715,108,95,2,6.48,7.2,"2014JP3715RTRIA",1,"Hinterzarten (GER)","Mix",108,1,2,"2013-07-27"
"189",2014,3715,108,95,2,6.48,7.2,"2014JP3715RL",0,"Hinterzarten (GER)","Mix",108,1,2,"2013-07-27"
"190",2014,3714,108,95,2,6.48,7.2,"2014JP3714RTRIA",1,"Hinterzarten (GER)","Women",108,0,2,"2013-07-26"
"191",2014,3714,108,95,2,6.48,7.2,"2014JP3714RLT",1,"Hinterzarten (GER)","Women",108,0,2,"2013-07-26"
"192",2014,3714,108,95,2,6.48,7.2,"2014JP3714RL",0,"Hinterzarten (GER)","Women",108,0,2,"2013-07-26"
"193",2013,3760,140,125,1.8,7.56,10.8,"2013JP3760RLT",1,"Klingenthal (GER)","Men",140,0,2,"2012-10-02"
"194",2013,3760,140,125,1.8,7.56,10.8,"2013JP3760RLQ",0,"Klingenthal (GER)","Men",140,0,2,"2012-10-02"
"195",2013,3759,140,125,1.8,7.56,10.8,"2013JP3759RTRIA",1,"Klingenthal (GER)","Men",140,0,2,"2012-10-03"
"196",2013,3759,140,125,1.8,7.56,10.8,"2013JP3759RL",0,"Klingenthal (GER)","Men",140,0,2,"2012-10-03"
"197",2013,3758,94,85,2,4.8,5.8,"2013JP3758RLT",1,"Hinzenbach (AUT)","Men",94,0,2,"2012-09-29"
"198",2013,3758,94,85,2,4.8,5.8,"2013JP3758RLQ",0,"Hinzenbach (AUT)","Men",94,0,2,"2012-09-29"
"199",2013,3757,94,85,2,4.8,5.8,"2013JP3757RTRIA",1,"Hinzenbach (AUT)","Men",94,0,2,"2012-09-30"
"200",2013,3757,94,85,2,4.8,5.8,"2013JP3757RL",0,"Hinzenbach (AUT)","Men",94,0,2,"2012-09-30"
"201",2013,3751,140,125,1.8,7.56,9.36,"2013JP3751RLT",1,"Almaty (KAZ)","Men",140,0,2,"2012-09-21"
