"","id","name","points","speed","dist","dist_points","note_points","round","wind_comp","gate_points","season","place","gender"
"194","2021JP3003RL","stoch kamil",216.1,103.9,224,148.8,56,"final round",2.1,9.2,2021,"Planica (SLO)","Men"
"195","2021JP3003RL","kubacki dawid",196.8,104.6,211,133.2,53,"1st round",1.4,9.2,2021,"Planica (SLO)","Men"
"196","2021JP3003RL","kubacki dawid",196.2,104.5,209,130.8,52,"final round",4.2,9.2,2021,"Planica (SLO)","Men"
"197","2021JP3003RL","prevc domen",189.5,104.6,211,133.2,52.5,"1st round",3.8,0,2021,"Planica (SLO)","Men"
"198","2021JP3003RL","prevc domen",208.6,104.7,226,151.2,55.5,"final round",1.9,0,2021,"Planica (SLO)","Men"
"199","2021JP3003RL","prevc peter",201.5,104.8,221,145.2,54,"1st round",2.3,0,2021,"Planica (SLO)","Men"
"200","2021JP3003RL","prevc peter",196.9,104.7,218.5,142.2,54,"final round",0.7,0,2021,"Planica (SLO)","Men"
"201","2021JP3003RL","pavlovcic bor",184.6,104.9,200,120,50,"1st round",5.4,9.2,2021,"Planica (SLO)","Men"
"202","2021JP3003RL","pavlovcic bor",180.1,105.6,201,121.2,50.5,"final round",8.4,0,2021,"Planica (SLO)","Men"
"203","2021JP3003RL","lanisek anze",223.6,104.8,231,157.2,55.5,"1st round",1.7,9.2,2021,"Planica (SLO)","Men"
"204","2021JP3003RL","lanisek anze",225.1,104.6,231.5,157.8,55.5,"final round",2.6,9.2,2021,"Planica (SLO)","Men"
"205","2021JP3003RL","sato keiichi",176.3,104.3,202,122.4,49.5,"1st round",4.4,0,2021,"Planica (SLO)","Men"
"206","2021JP3003RL","sato keiichi",175.2,104.3,202,122.4,50.5,"final round",2.3,0,2021,"Planica (SLO)","Men"
"207","2021JP3003RL","nakamura naoki",172.9,104.6,200.5,120.6,49.5,"1st round",2.8,0,2021,"Planica (SLO)","Men"
"208","2021JP3003RL","nakamura naoki",149.2,104.6,182.5,99,49,"final round",1.2,0,2021,"Planica (SLO)","Men"
